"ISO","SAP"
"YRD","YD"
"EA","EA"
"SO","SO"
"MTK","M2"
"EA","EA"
"FTK","FT2"
"CMK","CM2"
"RO","ROL"
"QT","QT"
"PT","PT"
"PR","PAA"
"PF","PAL"
"PK","PAK"
"PCE","ST"
"ONZ","OZ"
"ONZ","OZ"
"MTR","M"
"MMT","MM"
"MLT","ML"
"MGM","MG"
"MTQ","M3"
"MTK","M2"
"LTR","L"
"FOT","FT"
"LBR","LB"
"KWT","KW"
"KMT","KM"
"KGM","KG"
"INH","IN"
"H","H"
"GRO","GRO"
"GRM","G"
"GLL","GLL"
"FOT","FT"
"FOT","FT"
"FTQ","FT3"
"EA","EA"
"DZN","DZ"
"DR","DR"
"DMT","DM"
"CT","KAR"
"CMT","CM"
"CMQ","CCM"
"CS","CS"
"BX","BX"
"BO","BOT"
"BAR","BAR"
"BG","BAG"
"BAR","BAR"
